task_name,observed_schema_count,full_coverage,best_observed_schema,best_observed_score,second_observed_schema,second_observed_score,top3_spread_pp,missing_schema_ids,infra_blocked_schema_ids,runtime_blocked_schema_ids,ambiguous_schema_ids,artifact-generation,analytic-pipeline,engineering-composition,retrieval-heavy-synthesis,environment-control,methodology-guardrail,orchestration-delegation
3d-scan-calc,7,True,analytic-pipeline,0.0,artifact-generation,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adaptive-cruise-control,7,True,orchestration-delegation,31.25,retrieval-heavy-synthesis,31.25,31.25,,,,,0.0,0.0,0.0,31.25,0.0,0.0,31.25
azure-bgp-oscillation-route-leak,7,True,analytic-pipeline,60.0,methodology-guardrail,60.0,28.75,,,,,0.0,60.0,0.0,0.0,0.0,60.0,31.25
citation-check,7,True,analytic-pipeline,0.0,artifact-generation,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
civ6-adjacency-optimizer,7,True,artifact-generation,68.4167,analytic-pipeline,47.25,25.42,,,,,68.4167,47.25,43.0,0.0,14.25,13.5833,0.0
court-form-filling,7,True,analytic-pipeline,100.0,methodology-guardrail,80.0,40.0,,,,,31.25,100.0,0.0,60.0,0.0,80.0,31.25
dapt-intrusion-detection,7,True,methodology-guardrail,100.0,retrieval-heavy-synthesis,100.0,100.0,,,,,0.0,0.0,0.0,100.0,0.0,100.0,0.0
data-to-d3,7,True,methodology-guardrail,31.25,analytic-pipeline,0.0,31.25,,,,,0.0,0.0,0.0,0.0,0.0,31.25,0.0
earthquake-phase-association,7,True,analytic-pipeline,100.0,engineering-composition,100.0,0.0,,,,,0.0,100.0,100.0,72.5,0.0,0.0,100.0
earthquake-plate-calculation,7,True,orchestration-delegation,100.0,artifact-generation,31.25,100.0,,,,,31.25,0.0,0.0,0.0,0.0,0.0,100.0
econ-detrending-correlation,7,True,orchestration-delegation,100.0,analytic-pipeline,0.0,100.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0
energy-ac-optimal-power-flow,7,True,environment-control,100.0,analytic-pipeline,0.0,100.0,,,,,0.0,0.0,0.0,0.0,100.0,0.0,0.0
energy-market-pricing,7,True,environment-control,80.0,retrieval-heavy-synthesis,80.0,80.0,,,,,0.0,0.0,0.0,80.0,80.0,0.0,0.0
exceltable-in-ppt,7,True,analytic-pipeline,100.0,environment-control,100.0,0.0,,,,,0.0,100.0,0.0,0.0,100.0,0.0,100.0
exoplanet-detection-period,7,True,engineering-composition,60.0,environment-control,60.0,28.75,,,,,0.0,0.0,60.0,31.25,60.0,0.0,0.0
financial-modeling-qa,7,True,environment-control,100.0,methodology-guardrail,31.25,100.0,,,,,0.0,0.0,0.0,0.0,100.0,31.25,0.0
find-topk-similiar-chemicals,7,True,analytic-pipeline,31.25,engineering-composition,31.25,0.0,,,,,0.0,31.25,31.25,0.0,0.0,0.0,31.25
fix-build-agentops,7,True,analytic-pipeline,0.0,artifact-generation,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fix-build-google-auto,7,True,analytic-pipeline,0.0,artifact-generation,0.0,0.0,,,,environment-control,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fix-druid-loophole-cve,7,True,analytic-pipeline,0.0,artifact-generation,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
